employee_id,country,performance_score
ANON_65X48X48X48X51X48X49X49X50X53X57X,France,4.0
ANON_65X48X48X48X51X48X49X49X51X50X50X,France,3.0
ANON_65X55X48X48X48X48X53X48X48X50X48X,France,4.0
ANON_65X55X48X48X50X53X48X53X54X49X49X,France,3.0
ANON_65X55X48X48X50X53X48X54X56X56X53X,France,3.0
ANON_65X55X48X48X50X53X48X56X48X54X48X,France,3.0
ANON_65X55X48X48X57X49X49X49X52X52X51X,France,4.0
ANON_65X55X48X48X57X49X49X51X55X51X50X,France,3.0
ANON_65X70X48X50X48X48X50X49X50X48X49X,France,4.0
ANON_65X84X48X48X48X48X48X48X49X51X55X,Luxembourg,4.0
ANON_65X84X48X48X48X48X48X49X49X50X50X,France,3.0
ANON_65X84X48X48X48X48X48X49X55X57X56X,Luxembourg,3.0
ANON_65X84X48X48X48X48X48X50X50X50X53X,Luxembourg,3.0
ANON_65X84X48X48X48X48X48X50X50X51X53X,Luxembourg,3.0
ANON_65X84X48X48X48X48X48X50X54X57X54X,Luxembourg,4.0
ANON_65X84X48X48X48X48X48X53X56X53X48X,Luxembourg,4.0
ANON_65X84X48X56X48X48X48X50X54X55X55X,France,3.0
ANON_65X86X48X53X48X48X48X49X51X55X57X,Luxembourg,3.0
ANON_65X86X48X53X48X48X48X49X54X56X56X,France,4.0
ANON_66X72X48X48X48X48X48X49X48X51X53X,France,3.0
ANON_66X72X48X48X48X48X51X53X48X52X56X,France,3.0
ANON_66X72X48X48X48X48X51X53X49X52X55X,France,4.0
ANON_66X72X48X48X48X48X51X53X49X54X57X,France,3.0
ANON_66X72X48X48X48X48X51X53X49X57X55X,France,4.0
ANON_66X72X48X48X48X48X51X53X50X54X48X,France,3.0
ANON_66X72X48X48X48X48X51X53X50X54X50X,France,4.0
ANON_66X72X48X48X48X48X51X53X51X51X57X,France,3.0
ANON_66X72X48X48X48X48X51X53X51X52X53X,France,4.0
ANON_66X72X48X48X48X48X51X53X51X53X56X,France,5.0
ANON_66X72X48X48X48X48X51X53X51X53X57X,France,4.0
ANON_66X72X48X48X48X48X51X53X52X49X53X,France,3.0
ANON_66X72X48X48X48X48X51X54X51X56X49X,France,4.0
ANON_66X72X48X48X48X48X51X54X54X55X50X,France,3.0
ANON_66X72X48X48X48X48X51X54X54X56X48X,France,3.0
ANON_66X72X48X48X48X48X51X54X55X51X53X,France,4.0
ANON_66X75X48X48X57X49X50X54X50X52X50X,France,3.0
ANON_66X75X48X48X57X49X50X56X55X53X57X,France,4.0
ANON_66X75X48X48X57X49X51X48X49X50X51X,Luxembourg,5.0
ANON_66X81X48X48X48X48X48X48X48X48X53X,France,3.0
ANON_66X81X48X48X48X48X48X48X53X49X51X,France,4.0
ANON_66X81X48X48X48X48X48X48X53X52X51X,France,2.0
ANON_67X57X48X48X48X48X69X50X50X52X57X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X50X53X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X50X56X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X50X57X52X,Luxembourg,2.0
ANON_67X57X48X48X48X48X69X50X50X57X57X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X51X48X48X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X51X50X50X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X51X52X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X51X52X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X51X53X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X52X48X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X52X49X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X52X50X55X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X52X51X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X52X52X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X52X52X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X52X53X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X53X49X48X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X53X52X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X53X54X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X53X54X57X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X53X55X50X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X53X57X53X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X54X49X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X54X50X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X54X50X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X54X52X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X54X52X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X50X54X54X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X50X55X50X53X,Luxembourg,3.0
