year,avg_fte_proxy,nbi,personnel_cost,training_cost,nbi_per_fte,personnel_cost_per_fte,training_cost_per_fte
2022,3990.94,1249964.97234,-392348.18757,-4385.54648,313.2006425403539,98.30971840468662,1.0988755731732374
2023,6395.34,1677331.59581,-514944.933020001,-6282.89308,262.2740301234962,80.51877351634174,0.9824173663949063
2024,6616.4,2083436.67974,-658035.31625,-5924.72777,314.88977083308146,99.45518956683394,0.8954609409951032
2025,6453.610000000001,2100010.63102,-678785.49119,-5118.79311,325.40091995332847,105.17919291528305,0.7931674070791386
